fullname,Department,aggregate funding
"Finnerty, Paraic Martin",Faculty of Humanities & Social Sciences,28506.0
"Farrant, Timothy John",Medieval & Modern Languages Fac,28453.0
"Haines, Brigid Anne",School of Arts and Humanities,28440.0
"Fiddler, Allyson Lesley",Languages and Cultures,28388.0
"Coleman, Julie Margaret",English,28356.0
"Head, Matthew William",Faculty of Humanities,28242.0
"Stock, Kathleen Mary","Sch of History, Art History & Philosophy",28235.0
"Whittle, Jane Catherine",History,28119.0
"Howells, Christina Mary",Medieval & Modern Languages Fac,28103.0
"Green, Roger Philip",School of Humanities,28101.0
"Deane-Drummond, Celia Evangeline",Theology and Religious Studies,28075.0
"Medina Ariza, Juan Jose",Law,28046.0
"Nicholson, Steve John","Sch of English Lit, Lang and Linguistics",28002.0
"Plock, Vike Martina",English,27953.0
"Field, Douglas James",Faculty of Arts & Creative Technologies,27827.0
"Lury, Karen Emelia",College of Arts,27684.0
"Shankland, David Peter",School of Arts,27619.0
"Smith, Mark Brian",School of History,27618.0
"Rawes, Alan Leigh",Arts Languages and Cultures,27586.0
"Wildman, Charlotte Elizabeth",Arts Languages and Cultures,27380.0
"Schellekens Dammann, Anna Elisabeth",Philosophy,27342.0
"Jowitt, Claire Elaine",Faculty of Humanities,27258.0
"Schmetterling, Astrid Corinne",Visual Cultures,27225.0
"Blake, Andrew John",Faculty of Arts,27225.0
"Fowler, Christopher John",Historical Studies,27184.0
"Parrott, David Arthur",History Faculty,27068.0
"Franklin, Michael John",School of Arts and Humanities,27041.0
"Malins, Julian Paul",Research and Enterprise Services,27030.0
"Rice, Alan John",Unlisted,26957.0
"Brown, David Stuart",History,26882.0
"Buse, Peter Anthony",Unlisted,26844.0
"Hobson, Marian Elizabeth",School of Languages Linguistics and Film,26795.0
"Beckett, Ian Frederick",Sch of History,26777.0
"Harvey, Karen Louise",History,26749.0
"Tuck, Stephen George",Humanities Division,26674.0
"Rock, Frances Eileen",Sch of English Communication and Philos,26672.0
"claydon, anthony michael",History Welsh History and Archaeology,26652.0
"O'Connor, Ralph James","School of Divinity, History and Philosop",26616.0
"Waughray, Annapurna Deborah",Manchester Law School,26609.0
"Smith, Barry Crawford",Philosophy,26546.0
"Cavill, Paul Ross",School of History,26341.0
"Snowdon, Paul Francis",Philosophy,26337.0
"Johnstone, Andrew Edward",Sch of Historical Studies,26314.0
"Ahonen, Pertti Tapio",History,26198.0
"Feldman, David Maurice",History Classics and Archaeology,26150.0
"Beattie, Christina Jane","Drama, Theatre and Performance",26132.0
"Mackie, Penelope Jane",Philosophy,26085.0
"King, Alasdair James",School of Languages Linguistics and Film,25953.0
"Scott, Derek B",Sch of Music,25879.0
"Burrows, Daron Lee",Languages Linguistics and Cultures,25877.0
"Sargentson, Carolyn Jane",Research,25850.0
"Carpenter, Sarah Margaret",Sch of Literature Languages & Culture,25808.0
"Bispham, Edward Henry",Classics Faculty,25781.0
"Pinder, David John",Geography,25774.0
"Haycock, Marged Elizabeth",Welsh,25730.0
"Turner, Lynn Justine",Visual Cultures,25699.0
"Holmes, Catherine Joy",History Faculty,25680.0
"Carter, Erica Anne",German Studies,25481.0
"Cochrane, Claire Elizabeth",Inst of Humanities and Creative Arts,25480.0
"Langer, Rita Elisabeth",School of Humanities,25459.0
"Cooke, Peter David",Languages Linguistics and Cultures,25352.0
"Muldrew, James Craig",History,25306.0
"Davies, Douglas James",Theology and Religion,25301.0
"Croenen, Godfried Luc",Modern Languages and Cultures,25272.0
"Pohl, Nicole Barbara",Faculty of Humanities and Social Sci,25220.0
"Davies, Jason Walford",Sch of Welsh,25180.0
"Adams, Colin Edward",Archaeology Classics and Egyptology,25141.0
"Bebbington, David William",History and Politics,25113.0
"Villiers, Charlotte Louise",Law,25087.0
"Kelly, Michael Howard",Faculty of Humanities,25063.0
"Williams, Christopher Wesley",Medieval & Modern Languages Fac,25054.0
"String, Tatiana Christine",School of Arts,24978.0
"Burnett, Mark Thornton",Sch of English,24978.0
"Jowitt, Claire Elaine",Humanities,24968.0
"SMALL, Graeme Peter",School of Humanities,24928.0
"Alston, Charlotte Lucy","Fac of Arts, Design and Social Sciences",24908.0
"Hardwick, Lorna Patricia",Classical Studies,24888.0
"Bray, Joseph David","Sch of English Lit, Lang and Linguistics",24879.0
"Hayden, Sam Thomas","Sch of Media, Film and Music",24834.0
"Nesi, Hilary Justine",Business Environment and Society,24779.0
"Giles, Melanie Claire",Arts Languages and Cultures,24778.0
"Tate, Gregory Paul",Sch of English,24747.0
"Clarke, David Ian",School of Arts and Cultures,24741.0
"Pritchard, Duncan Henry",Philosophy,24721.0
"Forgacs, David Anthony",Italian,24674.0
"Morus, Iwan Rhys",History and Welsh History,24628.0
"Dotson, Brandon Bailey",Lang and Culture of China and Inner Asia,24612.0
"Knight, Sarah Marie",English,24602.0
"Whitehead, Mark James",Inst of Geography and Earth Sciences,24601.0
"MacDonald, Katherine Margaret",French,24598.0
"Gleave, Robert Martin",Arab and Islamic Studies,24591.0
"Wood, Elizabeth Ann",Education,24578.0
"Farrier, David Christopher",English,24558.0
"Lumsden, Alison May",School of Language and Literature,24547.0
"barnard, clio hope",Sch of Arts,24499.0
"Pearson, Giles Benjamin",School of Arts,24460.0
"Pye, Elizabeth Mary",Institute of Archaeology,24448.0
"Bowen, Huw Vaughan",Sch of Historical Studies,24446.0
"Segal, Naomi Dinah",Inst of Modern Languages Research,24432.0
"Pollard, Alan Mark",School of Archaeology,24414.0
"Jennings, Roslyn Elizabeth",Faculty of Media Art and Technology,24358.0
"Price, Katy Emma",Fac of Arts Law and Social Sciences,24339.0
"Hughes, John James",School of Science,24290.0
"Garde-Hansen, Joanne Clare",Centre for Cultural Policy Studies,24248.0
"Davis, Alexander Lee",Sch of English,24247.0
"Hipkins, Danielle Elisabeth",Modern Languages Italian,24227.0
"Barber, Alexander William",Philosophy,24179.0
"Wilson, Janet Mary",Faculty of Education and Humanities,24175.0
"Zimmerer, Juergen Karl",History,24146.0
"Griffiths, Clare Victoria",History,24146.0
"Peschel, Lisa Anne",Theatre Film and TV,24140.0
"Everett, Anthony Julian",School of Arts,24129.0
"Dodd, Jocelyn Ann",Museum Studies,24121.0
"Manson, Neil Campbell",Politics Philosophy and Religion,24073.0
"Keene, Suzanne Victoria",Institute of Archaeology,24061.0
"Crow, Graham Paul",School of Social Sciences,24006.0
"Battey, Nicholas Hugh",Sch of Biological Sciences,23997.0
"McPherson, Andrew Palmer",Sch of Electronic Eng & Computer Science,23994.0
"Alexander, Gavin Robert",English,23982.0
"Williams, Dorothy Agnes",Business School,23974.0
"Caballero, Chamion Maria",Fac of Arts and Human Sciences,23941.0
"Mendelsohn, John Andrew","Humanities - Ctr for History of Sci, Tec",23919.0
"Kent, Anthony Martin",London College of Communication,23914.0
"Madden, Mary Teresa",School of Healthcare,23805.0
"Bassett, Caroline Ann",English,23804.0
"Dudley, Sandra Helen",Museum Studies,23789.0
"Dipple, Kelli Robyn",Digital Programmes,23753.0
"Greaves, Alan Michael",Archaeology Classics and Egyptology,23746.0
"Naylor, Simon Keith",Geography,23740.0
"Boughton, Zoe Collette",Modern Languages French,23698.0
"Parvis, Sara Eleanor",Sch of Divinity,23689.0
"Mackintosh, Fiona J.",Sch of Literature Languages & Culture,23689.0
"Williams, Michael Thomas",Faculty of Humanities,23646.0
"Clarke, David John","Politics, Languages and Int Studies",23634.0
"Hallam, Tudur Rhys",School of Arts and Humanities,23601.0
"Ahnert, Thomas Jasper",History,23554.0
"Whitehouse, Nicola Jane",Geography Archaeology and Palaeoecology,23544.0
"Gordon, Robert Samuel",Italian,23534.0
"Chalmers, James Peter",Sch of Law,23514.0
"Williams, Howard Morgan",Archaeology,23461.0
"Mason, Emma Jane",English and Comparative Literary Studies,23445.0
"Sutherland, Thomas Robert",Lincoln School of Film and Media,23420.0
"Doyle, Shane Declan",School of History,23417.0
"Brown, Hilary Jane",School of Arts and Humanities,23404.0
"Webb-Davies, Peredur Glyn","Sch of Language, Literature & Linguistic",23386.0
"Gwilt, Ian David",Faculty of Arts Computing Eng and Sci,23180.0
"Howkins, Alun John","Sch of History, Art History & Philosophy",23144.0
"Archard, David William",Sch of Politics Int Stu and Philosophy,23103.0
"Mitchell, Lynette Gail",Classics and Ancient History,23012.0
"Beard, David Jason",Music,22917.0
"Packham, Catherine Mary",Sch of English,22899.0
"Bradley, Laura Jennian",Div of European Languages and Cultures,22853.0
"Brundin, Abigail Sarah",Italian,22833.0
"Kelly, Shona Jessie",Faculty of Health and Wellbeing,22794.0
"Lubecker, Nikolaj d'Origny",School of Language and Literature,22790.0
"Jones, David Houston",Modern Languages French,22759.0
"Irvine, Susan Elizabeth",English Language and Literature,22751.0
"Schwemer, Karl Friedrich",Lang an Cultures of Near and Middle East,22744.0
"Foster, Graham Paul",Sch of Divinity,22726.0
"Widdis, Emma Kathrine",Slavonic Studies,22722.0
"Beresford, Andrew Martin",Modern Languages and Cultures,22698.0
"Bowman, Glenn Walker",Sch of Anthropology & Conservation,22686.0
"Jowett, Lorna Elizabeth",School of the Arts,22590.0
"Newbury, Darren Mark",Unlisted,22572.0
"Rubery, Matthew Christopher",School of English,22523.0
"Wilson, Adrian Finlay",School of PRHS,22489.0
"Day, Thomas Anthony",Sch of Journalism and Digital Comms,22444.0
"Zalabardo, Jose Luis",Philosophy,22429.0
"Desblache, Lucile Anne","Media, Culture and Language",22389.0
"MacCormack, Patricia Anne",Fac of Arts Law and Social Sciences,22385.0
"Jones, Evan Thomas",School of Humanities,22383.0
"Smith, Mark Thomas",Unlisted,22347.0
"Loveluck, Christopher Paul",Sch of Humanities,22271.0
"Kiefer, Chris William","Sch of Media, Film and Music",22261.0
"Harmon, Shawn H.",Sch of Law,22044.0
"Eilan, Naomi Hannah",Philosophy,22015.0
"Glen, Heather Joan",English,21976.0
"Thompson, Nicholas James","School of Divinity, History and Philosop",21935.0
"McDonnell, William Gerard","Sch of English Lit, Lang and Linguistics",21866.0
"Timpson, Christopher Gordon",Sch of Philosophy,21784.0
"Butler, Matthew John",Sch of Modern Languages,21691.0
"Ahearne, Jeremy Neil",French Studies,21647.0
"Kropp, Andreas Jacob",Classics,21571.0
"Chapman, Robert William",Archaeology,21532.0
"Lindsay, Claire Rachel",Spanish and Latin American Studies,21491.0
"Hurtig, Kent Ingvar",Philosophy,21475.0
"Giaquinto, Marcus Daniel",Philosophy,21233.0
"Steward, Helen Catherine",Philosophy,21151.0
"Bradley, Mark Alan",Classics,21101.0
"Jones, Christopher David",School of Arts and Cultures,21088.0
"Ord, Melanie Jane","Fac Creative Arts, Humanities & Education",20913.0
"Sinanan, Kerry Eleanor","Fac Creative Arts, Humanities & Education",20913.0
"O'Brien, Lucy Frances",Philosophy,20897.0
"Cubitt, Catherine Rosalind",History,20825.0
"Chapman, Henry Philip",History and Cultures,20679.0
"Garratt, James Edmund",Arts Languages and Cultures,20665.0
"Swallow, Deborah Anne",History of Art,20606.0
"Newbury, Darren Mark",ADM Art,20525.0
"Griffiths, Katherine Sian",Sch of Modern Languages,20442.0
"Hammill, Faye Louise",Sch of English Communication and Philos,20427.0
"Szreter, Simon Richard",History and Philosophy Of Science,20397.0
"Townend, Matthew Owen",English and Related Literature,20380.0
"Moore, James Robert",Sch of Historical Studies,20379.0
"Burnstock, Aviva Ruth",Conservation & Technology,20338.0
"McGhee, Derek Peter",School of Social Sciences,20241.0
"Prag, Jonathan Ralph",Classics Faculty,20178.0
"Riley, Christopher Andrew",Law,20129.0
"Odle, Robert James",Greenwich Research and Enterprise Office,20106.0
"Gilbert, Jane Louise",French,20095.0
"Horrocks, Sally Margaret",Sch of Historical Studies,20094.0
"Gillespie, Alisdair Allan",Leicester De Montfort Law School,20005.0
"Johnston, Alan Thomas",School of Art,19920.0
"Hewitt, Steven Roy",English Drama American and Canadian Stu,19915.0
"Sorensen, Marie Louise",Archaeology,19880.0
"Sermon, Paul Sylvester",Centre for Research & Development (Arts),19871.0
"Morris, Richard Keith",Sch of Music Humanities & Media,19804.0
"Evans, Graeme Lorenzo",School of Art and Design,19750.0
"Baker, Naomi Sylvia",Arts Languages and Cultures,19733.0
"Waddington, David Peter",Faculty of Arts Computing Eng and Sci,19703.0
"Mendus, Susan Lesley",Politics,19465.0
"Kirk, John Monfries",Sch of English,19384.0
"Friend, Melanie Anne","Sch of Media, Film and Music",19272.0
"Hastings, Annette Linn",School of Social & Political Sciences,19225.0
"Spencer, Graham Philip",School of Creative Arts Film and Media,18888.0
"Ashford, Elizabeth Jane",Philos Anthrop and Film Studies,18777.0
"McDonald, Ronan Daniel",English Literature,18749.0
"Moss, Michael Stanley",School of Humanities,18606.0
"Ramsay, Gordon Philip",School of English,18606.0
"Robinson, Simon John",Carnegie Faculty,18606.0
"Brockington, Grace Ellen",School of Arts,18606.0
"Prettejohn, Elizabeth Francesca",History of Art,18553.0
"Frood, Elizabeth Anne",Oriental Institute,18392.0
"Newby, Zahra Louise",Classics & Ancient History,18189.0
"Avery, Victoria Jane",History of Art,18189.0
"Rupprecht, Anita Jacqueline",Sch of Humanities,18104.0
"Greenwood, Emily Jane",Sch of Classics,18046.0
"Kinchin, Juliet Lilla",School of Culture & Creative Arts,18000.0
"Matthews, Gethin Hugh",School of Arts and Humanities,17954.0
"Fitch, Fabrice Julian",Music,17951.0
"Roberts, Celia Mary",Sociology,17907.0
"Stephenson, David Owen",Institute of Applied Social Sciences,17756.0
"O'Byrne, Alison Frances",English and Related Literature,17616.0
"Wake, Paul Francis",English,17523.0
"Petts, David Andrew",Archaeology,17278.0
"Sanson, Helena Louise",Italian,17070.0
"Lang, Anouk Elise",English,16982.0
"Stanton, Timothy Arthur",Politics,16964.0
"Harwood, Tracy Gaynor",School of Media and Communication,16706.0
"Skilton, David John",Sch of English Communication and Philos,16615.0
"eastwood, steven john",Humanities and Social Sciences,16426.0
"Nicolls, Sarah Louise",Sch of Arts,16425.0
"Seddon, Peter John","School of Art, Design and Media",16385.0
"Burnett, Kathryn Anne",School of Creative & Cultural Industries,16355.0
"Barry, Elizabeth Claire",English and Comparative Literary Studies,16322.0
"Jones, Ruth Louisa",Faculty of Creative Arts,16249.0
"Thurston, Scott Douglas","Sch of Humanities, Lang & Social Science",16239.0
"Amos, Martyn Richard",Fac of Engineering and Environment,16161.0
"Howard, David M",Electronics,16106.0
"Kelly, Debra Joanne","Sch of Social Sci, Humanities & Language",16092.0
"Tallack, Douglas Graham",Sch of Historical Studies,16081.0
"Bottoms, Stephen James",Unlisted,15994.0
"Pierse, Simon John",Sch of Art,15951.0
"Schenk, Franziska Maria",Unlisted,15763.0
"Eley, Penelope Anne",French,15752.0
"Stapleton, Paul Jay","Sch of Art, Design and Performance",15724.0
"Cowan, Andrew John","Literature, Drama and Creative Writing",15657.0
"Preston-Dunlop, Valerie Morthland",Dance,15542.0
"Barlow, Christopher Andrew",Faculty of Technology,15529.0
"Walsh, Robert William",Research & Innovation Office,15422.0
"Reid, Peter H",School of Creative and Cultural Business,15302.0
"Gregory, Andrew David",Science and Technology Studies,15301.0
"Haynes, Rebecca Ann",School of Slavonic & East European Studi,15301.0
"Stevenson, Christine McKee",The Secretary or registrar,15301.0
"Van Wees, Johannes Gerardus",History,15301.0
"Smith, Adam Inness",History,15301.0
"Turner, Mark W",English Language and Literature,15301.0
"Stewart, Michael Sinclair",Anthropology,15301.0
"Downing, Lisa Michelle",School of Languages Linguistics and Film,15301.0
"Beck, Peter James",Sch of Humanities,15301.0
"Oliver, Peter C",Dickson Poon School of Law Departments,15301.0
"Lewis, Andrew Paul",Sch of Music,15132.0
"Thomson, Jonathan Robert",Slade School of Fine Art,15031.0
"Sofaer, Joanna Rachel",Faculty of Humanities,14628.0
"Richardson, Philip David",History,14331.0
"Logan, Anne Frances",Sch of Social Pol Sociology & Social Res,14291.0
"Carty, Hazel Frances",Law,14230.0
"BANKS, MARK OLIVER",Sociology,14175.0
"Morrison, Andrew Donald",Arts Languages and Cultures,14013.0
"Kitson, Peter John",English,14013.0
"Hall, Sheldon Tait",Faculty of Arts Computing Eng and Sci,14013.0
"Bennett, Andrew John",School of Arts,14013.0
"Richardson, Sarah Ann",History,14013.0
"Cowling, David John",Modern Languages and Cultures,14013.0
"Chase, Malcolm Sherwin",Sch of Continuing Education,14013.0
"AIRD, William Morton","Sch of History, Archaeology & Religion",14013.0
"Reed, Esther Dora",Sch of Divinity,14013.0
"Harman, Peter M",History,14013.0
"Bernard, George William",Unlisted,14013.0
"Pollard, Carl Joshua",School of Arts,14013.0
"Hayward, Paul Antony",History,14013.0
"Hopkin, David Matthew",History Faculty,14013.0
"Hodkinson, Stephen John",Classics,14013.0
"Brady, Michael Sean",School of Humanities,14013.0
"Nicholson, Paul Thomas","Sch of History, Archaeology & Religion",14013.0
"Harrison, Keith Jonathan",Bath School of Art and Design,13383.0
"Crumey, Andrew David","School of English Literature,Language an",13224.0
"Abba, Thomas William",Faculty of Creative Arts,13202.0
"King, Michael Ralph",Art Media and Design,12951.0
"Hailwood, Simon Andrew",Philosophy,12919.0
"Doe, Christopher Norman",Cardiff Law School,12862.0
"Flynn, William Thomas",Institute for Medieval Studies,12774.0
"Spencer-Longhurst, Paul Stanley",Languages  Cultures  Art History & Music,12730.0
"Dyer, Christopher Charles",Sch of Historical Studies,12571.0
"Dowdeswell, Julian Andrew",Scott Polar Research Institute,12462.0
"Shah, Sonali Laxmi",Sociology & Social Policy,12422.0
"Sparke, Penny Anne",Sch of Design,12376.0
"Jones, Peter Nigel",Geography Politics and Sociology,12372.0
"de Vivo, Filippo Luciano",History Classics and Archaeology,12266.0
"Howle, Timothy Julian",Scarborough School of Arts and New Media,12220.0
"Miles, Malcolm Francis",Unlisted,12218.0
"Ell, Paul Spencer",Geography Archaeology and Palaeoecology,12214.0
"Haour, Anne Claire",Sainsbury Centre for Visual Arts,12198.0
"morrow, Ruth ellen",Sch of Art & Design,12046.0
"Cooper, Tarnya Helen",Curators,11992.0
"Forsyth, Katherine Stuart",School of Humanities,11889.0
"Horne, Francis Philip",English Language and Literature,11476.0
"Trapp, Michael Burney",Classics,11476.0
"Collins, Hugh Graham",Law,11476.0
"Roueche, Charlotte Mary",Digital Humanities,11458.0
"Kerswill, Paul Edward",Language and Linguistic Science,11261.0
"Robinson, Paul Finlay",Politics and International Studies,10863.0
"Henry, Alison Margaret",Sch of Communication,10735.0
"Young, Christopher John",Mining Engineering,10510.0
"Lisboa, Maria Manuel",Spanish and Portuguese,10510.0
"Liddy, Christian Drummond",History,10510.0
"Powell, Carolyn Anna",English,10510.0
"Roodhouse, Mark Cardwell",History,10510.0
"Walker, Ian Christopher",Sch of Art Media and Design,10510.0
"Ledgeway, Adam Noel",Modern & Medieval Languages,10510.0
"Lebeau, Vicky Ann",Sch of English,10510.0
"Gibson, Johanna Emelie",Centre for Commercial Law Studies,10445.0
"Terras, Melissa Mhairi",Information Studies,10139.0
"lok, susan pui san",School of Media and Performing Arts,10000.0
"Jankowsky, Richard Charles",Music,9996.0
"Holt, Maria Christine","Sch of Social Sci, Humanities & Language",9945.0
"Potter, Matthew Charles",History of Art and Film,9798.0
"Carr, Chris Michael",Arts Languages and Cultures,9776.0
"Bell, Martin Guy",Archaeology,9653.0
"Carr, Chris Michael",Materials,9653.0
"Mytum, Harold Clive",Archaeology,9190.0
"Edwards, Paul Eric",Sch of English and Creative Studies,9055.0
"Tinker, Christopher George",Sch of Management and Languages,8853.0
"Croft, Paul John",Sch of Art,8126.0
"Baek, Eun Kyong",School of Design,7611.0
"Stanfield, Peter Francis",Sch of Arts,7498.0
"Carman, Richard John",History and Cultures,7446.0
"Seabourne, Gwen Caroline",Law,6204.0
"Highmore, Ben John",Faculty of Creative Arts,5806.0
"Cullinane, Michael Patrick",Humanities,5796.0
"Tavernor, Robert William",Sociology,5663.0
"Green, David Ralph",Geography,5663.0
"Shillito, Ann Marie",Research Department,4981.0
"Ewu, Jumai Rachel",School of the Arts,4960.0
"Hayden, Sam Thomas",Music,4380.0
"Roesner-Lagao, David Philip",Sch of Arts,4262.0
"Babbage, Frances Helen","Sch of English Lit, Lang and Linguistics",1363.0
"Brooker, Peter John",Sch of English,0.0
"Cormier, Kearsy Annette",Human Communication Science,0.0
